Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;KOS: Kaluston määrä YHTEENSÄ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;6;0;0;0;0;4;0;0;0;0;0;0;146;0;0;0;120;0
2013;KOS: Kaluston keskimääräinen EURO-luokka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,9;0;0;1,666666667;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;1;0
2013;KOS: Liikennöintikorvaus yhteensä;0;2000000;0;605204,75;0;0;0;0;802373,92;0;108266,17;204643,6364;0;0;690064;0;204324;122423,79;0;0;0;0;489336;0;0;0;1626985;933069;4816414,545;2540585;1563200;1248011;1177279,618;4221274;2550000
2013;KOS: Liikennöintikorvaus kuukaudessa;0;166666,6667;0;50433,72917;0;0;0;0;66864,49333;0;9022,180833;17053,63636;0;0;57505,33333;0;17027;10201,9825;0;0;0;0;40778;0;0;0;135582,0833;77755,75;401367,8788;211715,4167;130266,6667;104000,9167;98106,63485;351772,8333;212500
2013;KOS: Lipputulot kertalipuista yhteensä;0;0;0;97071,4;0;0;0;0;67582;0;0;0;0;0;124670,27;0;172614;0;0;0;0;0;0;0;0;0;0;0;1926110,455;0;0;0;0;655200;0
2013;KOS: Lipputulot kertalipuista kuukaudessa;0;0;0;8089,283333;0;0;0;0;5631,833333;0;0;0;0;0;10389,18917;0;14384,5;0;0;0;0;0;0;0;0;0;0;0;160509,2045;0;0;0;0;54600;0
2013;KOS: Lipputulot arvolipuista yhteensä;0;0;0;19672,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266100;0
2013;KOS: Lipputulot arvolipuista kuukaudessa;0;0;0;1639,379167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22175;0
2013;KOS: Lipputulot kausilipuista yhteensä;0;0;0;95574,58;0;0;0;0;266354;0;0;88363,63636;2237830,5;0;366781,11;0;0;0;0;0;0;0;0;0;0;0;0;0;825475,9091;0;1200300;0;1700909,091;995000;1550000
2013;KOS: Lipputulot kausilipuista kuukaudessa;0;0;0;7964,548333;0;0;0;0;22196,16667;0;0;7363,636364;186485,875;0;30565,0925;0;0;0;0;0;0;0;0;0;0;0;0;0;68789,65909;0;100025;0;141742,4242;82916,66667;129166,6667
